#;Timestamp;Gateway;rssi
73;16:26:28.144 09/05/2018;7076FFFFFE0188D7 ARBA009 UNLP;-103
74;16:26:12.166 09/05/2018;7076FFFFFE0188D7 ARBA009 UNLP;-97
75;16:25:56.202 09/05/2018;7076FFFFFE0188D7 ARBA009 UNLP;-102
76;16:25:40.630 09/05/2018;7076FFFFFE0188D7 ARBA009 UNLP;-100
77;16:25:24.213 09/05/2018;7076FFFFFE0188D7 ARBA009 UNLP;-105
78;16:25:07.950 09/05/2018;7076FFFFFE0188D7 ARBA009 UNLP;-99
79;16:24:51.955 09/05/2018;7076FFFFFE0188D7 ARBA009 UNLP;-103
80;16:24:35.315 09/05/2018;7076FFFFFE0188D7 ARBA009 UNLP;-103
81;16:24:21.735 09/05/2018;7076FFFFFE0188D7 ARBA009 UNLP;-112
82;16:24:08.101 09/05/2018;7076FFFFFE0188D7 ARBA009 UNLP;-103
83;16:23:52.808 09/05/2018;7076FFFFFE0188D7 ARBA009 UNLP;-104
84;16:23:39.125 09/05/2018;7076FFFFFE0188D7 ARBA009 UNLP;-101
85;16:23:22.616 09/05/2018;7076FFFFFE0188D7 ARBA009 UNLP;-102
86;16:23:07.275 09/05/2018;7076FFFFFE0188D7 ARBA009 UNLP;-107
87;16:22:51.848 09/05/2018;7076FFFFFE0188D7 ARBA009 UNLP;-105
88;16:22:35.049 09/05/2018;7076FFFFFE0188D7 ARBA009 UNLP;-100
89;16:22:19.852 09/05/2018;7076FFFFFE0188D7 ARBA009 UNLP;-103
90;16:22:04.186 09/05/2018;7076FFFFFE0188D7 ARBA009 UNLP;-101
91;16:21:48.593 09/05/2018;7076FFFFFE0188D7 ARBA009 UNLP;-99
92;16:21:32.705 09/05/2018;7076FFFFFE0188D7 ARBA009 UNLP;-105
93;16:21:17.650 09/05/2018;7076FFFFFE0188D7 ARBA009 UNLP;-99
94;16:21:02.446 09/05/2018;7076FFFFFE0188D7 ARBA009 UNLP;-100
95;16:20:47.382 09/05/2018;7076FFFFFE0188D7 ARBA009 UNLP;-105
96;16:20:33.701 09/05/2018;7076FFFFFE0188D7 ARBA009 UNLP;-101
97;16:20:20.085 09/05/2018;7076FFFFFE0188D7 ARBA009 UNLP;-105
98;16:20:06.478 09/05/2018;7076FFFFFE0188D7 ARBA009 UNLP;-99
99;16:19:50.196 09/05/2018;7076FFFFFE0188D7 ARBA009 UNLP;-108
100;16:19:33.779 09/05/2018;7076FFFFFE0188D7 ARBA009 UNLP;-98
101;16:19:17.737 09/05/2018;7076FFFFFE0188D7 ARBA009 UNLP;-106
102;16:19:02.010 09/05/2018;7076FFFFFE0188D7 ARBA009 UNLP;-100
103;16:18:46.803 09/05/2018;7076FFFFFE0188D7 ARBA009 UNLP;-103
104;16:18:30.158 09/05/2018;7076FFFFFE0188D7 ARBA009 UNLP;-109
105;16:18:14.872 09/05/2018;7076FFFFFE0188D7 ARBA009 UNLP;-99
106;16:17:59.664 09/05/2018;7076FFFFFE0188D7 ARBA009 UNLP;-102
107;16:17:42.847 09/05/2018;7076FFFFFE0188D7 ARBA009 UNLP;-102
108;16:17:26.580 09/05/2018;7076FFFFFE0188D7 ARBA009 UNLP;-108
109;16:17:12.963 09/05/2018;7076FFFFFE0188D7 ARBA009 UNLP;-103
110;16:16:59.355 09/05/2018;7076FFFFFE0188D7 ARBA009 UNLP;-103
111;16:16:45.738 09/05/2018;7076FFFFFE0188D7 ARBA009 UNLP;-99
112;16:16:32.059 09/05/2018;7076FFFFFE0188D7 ARBA009 UNLP;-99
113;16:16:16.012 09/05/2018;7076FFFFFE0188D7 ARBA009 UNLP;-101
114;16:16:00.507 09/05/2018;7076FFFFFE0188D7 ARBA009 UNLP;-106
115;16:15:45.275 09/05/2018;7076FFFFFE0188D7 ARBA009 UNLP;-101
116;16:15:29.393 09/05/2018;7076FFFFFE0188D7 ARBA009 UNLP;-101
117;16:15:13.348 09/05/2018;7076FFFFFE0188D7 ARBA009 UNLP;-103
118;16:14:57.841 09/05/2018;7076FFFFFE0188D7 ARBA009 UNLP;-104
119;16:14:42.850 09/05/2018;7076FFFFFE0188D7 ARBA009 UNLP;-100
120;16:14:27.498 09/05/2018;7076FFFFFE0188D7 ARBA009 UNLP;-101
121;16:14:11.609 09/05/2018;7076FFFFFE0188D7 ARBA009 UNLP;-106
122;16:13:55.716 09/05/2018;7076FFFFFE0188D7 ARBA009 UNLP;-100
123;16:13:42.100 09/05/2018;7076FFFFFE0188D7 ARBA009 UNLP;-106
124;16:13:28.499 09/05/2018;7076FFFFFE0188D7 ARBA009 UNLP;-104
125;16:13:14.876 09/05/2018;7076FFFFFE0188D7 ARBA009 UNLP;-101
126;16:13:01.266 09/05/2018;7076FFFFFE0188D7 ARBA009 UNLP;-105
127;16:12:44.982 09/05/2018;7076FFFFFE0188D7 ARBA009 UNLP;-106
128;16:12:29.791 09/05/2018;7076FFFFFE0188D7 ARBA009 UNLP;-105
129;16:12:12.986 09/05/2018;7076FFFFFE0188D7 ARBA009 UNLP;-100
130;16:11:56.406 09/05/2018;7076FFFFFE0188D7 ARBA009 UNLP;-103
131;16:11:40.137 09/05/2018;7076FFFFFE0188D7 ARBA009 UNLP;-101
132;16:11:23.784 09/05/2018;7076FFFFFE0188D7 ARBA009 UNLP;-107
133;16:11:08.433 09/05/2018;7076FFFFFE0188D7 ARBA009 UNLP;-98
134;16:10:53.067 09/05/2018;7076FFFFFE0188D7 ARBA009 UNLP;-103
135;16:10:37.028 09/05/2018;7076FFFFFE0188D7 ARBA009 UNLP;-102
136;16:10:20.530 09/05/2018;7076FFFFFE0188D7 ARBA009 UNLP;-100
137;16:10:06.852 09/05/2018;7076FFFFFE0188D7 ARBA009 UNLP;-101
138;16:09:53.235 09/05/2018;7076FFFFFE0188D7 ARBA009 UNLP;-103
139;16:09:39.625 09/05/2018;7076FFFFFE0188D7 ARBA009 UNLP;-100
140;16:09:26.017 09/05/2018;7076FFFFFE0188D7 ARBA009 UNLP;-99
141;16:09:09.676 09/05/2018;7076FFFFFE0188D7 ARBA009 UNLP;-107
142;16:08:54.618 09/05/2018;7076FFFFFE0188D7 ARBA009 UNLP;-98
143;16:08:37.965 09/05/2018;7076FFFFFE0188D7 ARBA009 UNLP;-105
144;16:08:21.914 09/05/2018;7076FFFFFE0188D7 ARBA009 UNLP;-98
145;16:08:05.263 09/05/2018;7076FFFFFE0188D7 ARBA009 UNLP;-101
146;16:07:49.830 09/05/2018;7076FFFFFE0188D7 ARBA009 UNLP;-101
147;16:07:33.780 09/05/2018;7076FFFFFE0188D7 ARBA009 UNLP;-103
148;16:07:17.656 09/05/2018;7076FFFFFE0188D7 ARBA009 UNLP;-106
149;16:07:02.071 09/05/2018;7076FFFFFE0188D7 ARBA009 UNLP;-103
150;16:06:45.804 09/05/2018;7076FFFFFE0188D7 ARBA009 UNLP;-103
151;16:06:32.131 09/05/2018;7076FFFFFE0188D7 ARBA009 UNLP;-99
152;16:06:18.513 09/05/2018;7076FFFFFE0188D7 ARBA009 UNLP;-106
153;16:06:04.908 09/05/2018;7076FFFFFE0188D7 ARBA009 UNLP;-102
154;16:05:51.294 09/05/2018;7076FFFFFE0188D7 ARBA009 UNLP;-104
155;16:05:35.789 09/05/2018;7076FFFFFE0188D7 ARBA009 UNLP;-103
156;16:05:20.727 09/05/2018;7076FFFFFE0188D7 ARBA009 UNLP;-102
157;16:05:04.687 09/05/2018;7076FFFFFE0188D7 ARBA009 UNLP;-107
158;16:04:49.254 09/05/2018;7076FFFFFE0188D7 ARBA009 UNLP;-107
159;16:04:32.518 09/05/2018;7076FFFFFE0188D7 ARBA009 UNLP;-104
160;16:04:16.313 09/05/2018;7076FFFFFE0188D7 ARBA009 UNLP;-100
161;16:03:59.418 09/05/2018;7076FFFFFE0188D7 ARBA009 UNLP;-106
162;16:03:43.596 09/05/2018;7076FFFFFE0188D7 ARBA009 UNLP;-101
163;16:03:28.088 09/05/2018;7076FFFFFE0188D7 ARBA009 UNLP;-104
164;16:03:12.644 09/05/2018;7076FFFFFE0188D7 ARBA009 UNLP;-101
165;16:02:59.030 09/05/2018;7076FFFFFE0188D7 ARBA009 UNLP;-106
166;16:02:45.417 09/05/2018;7076FFFFFE0188D7 ARBA009 UNLP;-101
167;16:02:31.741 09/05/2018;7076FFFFFE0188D7 ARBA009 UNLP;-109
168;16:02:18.118 09/05/2018;7076FFFFFE0188D7 ARBA009 UNLP;-101
169;16:02:01.705 09/05/2018;7076FFFFFE0188D7 ARBA009 UNLP;-106
170;16:01:46.125 09/05/2018;7076FFFFFE0188D7 ARBA009 UNLP;-99
171;16:01:29.786 09/05/2018;7076FFFFFE0188D7 ARBA009 UNLP;-105
172;16:01:14.117 09/05/2018;7076FFFFFE0188D7 ARBA009 UNLP;-100
173;16:00:58.302 09/05/2018;7076FFFFFE0188D7 ARBA009 UNLP;-105
174;16:00:43.320 09/05/2018;7076FFFFFE0188D7 ARBA009 UNLP;-101
175;16:00:28.350 09/05/2018;7076FFFFFE0188D7 ARBA009 UNLP;-109
176;16:00:12.982 09/05/2018;7076FFFFFE0188D7 ARBA009 UNLP;-100
